Combo ID,Construct,Primary JTBD,Secondary JTBDs,Anxiety Points,Key Decisions,Education Moments,Flow Layers Shown,Content Designer Input
V01,VANILLA,"When I start a new job, I want to understand my health coverage, so I can feel secure about my family's protection","• Know who is covered under my policy
• Understand what medical expenses are covered
• Get my e-card quickly to use at hospitals","• Is this coverage enough for my family?
• What happens if I need expensive treatment?
• Are my parents covered?",None (view-only flow),"• What is Sum Insured and how it works
• Who is covered (family definition)
• How to use e-card for cashless claims",L0 → L1 → L2 (view) → L6,"Headline: ""Your health coverage is ready""
Subtext: ""[Company] has you covered""
CTA: ""View your coverage""
Tooltips: Sum Insured, Floater, Cashless
Reassurance: ""No action needed - you're already protected"""
V02,VANILLA,"When my employer provides additional coverage options, I want to see what's included, so I know the full value of my benefits","• Understand base + top-up coverage
• See total protection amount
• Know this is fully paid by employer","• Is the top-up automatic or do I need to do something?
• What's the difference between base and top-up?","None (employer-paid, view-only)","• What is a top-up and how it extends coverage
• Combined coverage calculation
• When top-up kicks in",L0 → L1 → L2 (view) → L4 (view) → L6,"Headline: ""Your enhanced coverage""
Subtext: ""Base + Top-up provided by [Company]""
Top-up explanation: ""Extra ₹X kicks in after base is used""
CTA: ""View your benefits"""
V03,VANILLA,"When I have employer insurance, I want to add more protection, so I can cover higher medical expenses","• Compare top-up options and costs
• Understand cost vs benefit trade-off
• Make an informed investment decision","• Is the top-up worth the monthly cost?
• What does it actually cover beyond base?
• Can I change my decision later?","• Whether to purchase top-up (Yes/No)
• Which top-up tier to select","• What is top-up and when it's useful
• How premium is deducted from salary
• Top-up claim process",L0 → L1 → L2 → L4 (decision) → L5 → L6,"Headline: ""Enhance your coverage""
Subtext: ""Add extra protection for ₹X/month""
Decision copy: ""Add ₹Y lakh more coverage""
Anxiety reducer: ""Most employees add top-up for peace of mind""
CTA Primary: ""Add top-up""
CTA Secondary: ""Skip for now"""
V04,VANILLA,"When my employer offers parental coverage, I want to understand what's included, so my parents are protected too","• See parental plan details
• Understand coverage limits for parents
• Know pre-existing disease terms","• Are both parents covered?
• What about their pre-existing conditions?
• Is this enough for elderly parents?",None (employer-paid secondary),"• Secondary plan concept
• Parental policy specifics
• Waiting periods for pre-existing diseases",L0 → L1 → L2 (view) → L4 (view secondary) → L6,"Headline: ""Parents covered too""
Subtext: ""[Company] includes parental protection""
Info: ""Coverage for your parents at no extra cost""
Tooltips: Pre-existing disease, Waiting period"
V05,VANILLA,"When I want to protect my parents, I want to add them to my policy, so they get corporate rates and benefits","• Compare parental plan options
• Understand SI choices
• Calculate monthly cost","• Is corporate parental policy better than retail?
• What about their age and health conditions?
• Which SI is right for parents?","• Whether to add parental coverage (Yes/No)
• Which SI tier to select for parents","• Secondary plan for parents
• Corporate vs retail policy benefits
• SI selection considerations for elderly",L0 → L1 → L2 → L4 (decision) → L5 → L6,"Headline: ""Protect your parents""
Subtext: ""Add parental coverage at corporate rates""
Social proof: ""10,000+ employees chose parental coverage""
Comparison: ""Save 30% vs individual policy""
CTA: ""Add parents"""
V06,VANILLA,"When I want comprehensive protection, I want to customize my coverage, so my entire family is well-protected","• Evaluate top-up options
• Consider parental coverage
• Optimize total investment","• Am I spending too much or too little?
• Which combination gives best value?
• Can I afford all the premiums?","• Top-up selection
• Secondary plan selection
• Combined budget decision","• How components work together
• Total coverage calculation
• Premium breakdown",L0 → L1 → L2 → L4 (multiple decisions) → L5 → L6,"Headline: ""Build your family's protection""
Subtext: ""Choose the coverage that fits your needs""
Guidance: ""Recommended based on family size""
Budget helper: ""Your monthly investment: ₹X"""
V07,VANILLA,"When I want maximum protection for parents, I want to add secondary top-ups, so their coverage is comprehensive","• Understand secondary top-up benefit
• Calculate total parental coverage
• Evaluate cost-benefit","• Is secondary top-up different from main top-up?
• How much total coverage will parents have?
• Is this overkill?","• Base top-up selection
• Secondary plan selection
• Secondary top-up selection","• How secondary top-ups work
• Stacking coverage for parents
• Premium calculation",L0 → L1 → L2 → L4 (all options) → L5 → L6,"Headline: ""Maximum family protection""
Subtext: ""Comprehensive coverage for everyone""
Visual: Coverage breakdown per family member
CTA: ""Review your selections"""
V08,VANILLA,"When my employer provides add-ons, I want to understand what extra benefits I have, so I can use them when needed","• Know which add-ons are included
• Understand how to use each benefit
• See total benefit value","• How do I actually use these add-ons?
• Are there limits or conditions?
• Do I need to do anything to activate?",None (employer-paid add-ons),"• What each add-on covers
• How to claim add-on benefits
• Usage limits and conditions",L0 → L1 → L2 (view) → L4 (view add-ons) → L6,"Headline: ""Your extra benefits""
Subtext: ""Add-ons included by [Company]""
Add-on cards: Clear benefit descriptions
CTA: ""Explore your benefits"""
V09,VANILLA,"When I see optional add-ons, I want to choose the ones I need, so I get specific benefits that matter to me","• Compare add-on options
• Evaluate each benefit's value
• Select based on personal needs","• Which add-ons are actually useful?
• Am I paying for things I won't use?
• Can I add more later?",• Which add-ons to purchase (multi-select),"• Each add-on's specific benefit
• Use cases for each add-on
• Cost per add-on",L0 → L1 → L2 → L4 (add-on selection) → L5 → L6,"Headline: ""Personalize your benefits""
Subtext: ""Choose add-ons that fit your lifestyle""
Add-on cards: Benefit + Price + ""Popular"" tags
Recommendation: ""Based on your profile"""
V10,VANILLA,"When I want both higher coverage and extra benefits, I want to select top-up and add-ons, so I have comprehensive protection","• Evaluate top-up value
• Select relevant add-ons
• Manage total budget","• Should I prioritize top-up or add-ons?
• What's the best combination?
• Is my total spend reasonable?","• Top-up selection
• Add-on selection (multi-select)","• Top-up vs add-on difference
• How to prioritize spending
• Combined benefit value",L0 → L1 → L2 → L4 (top-up + add-ons) → L5 → L6,"Headline: ""Enhance + Personalize""
Subtext: ""Add coverage and benefits together""
Budget tracker: ""Total: ₹X/month""
Guidance: ""Most popular combination"""
V11,VANILLA,"When I want full customization, I want to configure all optional coverage, so I create the perfect protection package","• Configure top-up coverage
• Add secondary plan
• Select relevant add-ons","• Am I over-insuring?
• What's the right balance?
• Can I change this later?","• Top-up selection
• Secondary plan selection
• Add-on selection","• Full coverage architecture
• How components complement each other
• Annual vs monthly view",L0 → L1 → L2 → L4 (full config) → L5 → L6,"Headline: ""Design your coverage""
Subtext: ""Full flexibility to customize""
Progress: ""3 more steps to complete""
Summary card: Real-time total"
V12,VANILLA,"When maximum coverage options exist, I want to build the most comprehensive plan, so my family has the best protection","• Maximize base coverage extension
• Add complete secondary coverage
• Include all valuable add-ons","• Is maximum always better?
• Am I duplicating coverage?
• What's the claim process for all this?","• Top-up tier selection
• Secondary plan + top-up selection
• Add-on selection","• Complete coverage explanation
• Overlap and gap analysis
• Priority during claims",L0 → L1 → L2 → L4 (maximum options) → L5 → L6,"Headline: ""Premium protection""
Subtext: ""Maximum coverage for your family""
Value message: ""Complete peace of mind""
Comparison: ""You're in top 10% coverage"""
V13,VANILLA,"When I have consolidated top-up option, I want to understand how it works across plans, so I choose the right coverage","• Understand consolidated concept
• See combined coverage benefit
• Compare with separate top-ups","• Is consolidated better than separate?
• How does the claim work?
• Who is covered under consolidated?","• Consolidated top-up tier selection
• Secondary plan selection","• Consolidated vs separate top-ups
• Family coverage under consolidated
• Claim priority",L0 → L1 → L2 → L4 (consolidated) → L5 → L6,"Headline: ""Combined coverage boost""
Subtext: ""One top-up for entire family""
Explanation: ""Covers base + secondary together""
Visual: Family coverage diagram"
V14,VANILLA,"When I want consolidated coverage plus add-ons, I want to configure the optimal mix, so I have complete protection","• Configure consolidated top-up
• Select secondary plan
• Choose add-ons","• How do add-ons work with consolidated?
• Is there any overlap?
• What's not covered?","• Consolidated top-up selection
• Secondary plan selection
• Add-on selection","• Consolidated + add-on interaction
• Coverage gap analysis
• Complete benefit map",L0 → L1 → L2 → L4 (consolidated + add-ons) → L5 → L6,"Headline: ""Comprehensive coverage""
Subtext: ""Consolidated top-up + add-ons""
Coverage map: Visual showing all protections"
