Component ID,Component Name,Layer(s),Priority,Variant,Variant Description,State,State Description,Construct Condition,Figma Frame,Current Headline,Current Subtext,Current CTA Primary,Current CTA Secondary,Error ID,Error Message,Edge Cases / Notes,NEW Headline,NEW Subtext,NEW CTA Primary,NEW CTA Secondary,NEW Error Copy,Designer Notes
C01,Progress Stepper,ALL,P0,horizontal,Single row of bars with layer labels below,completed,Layer already visited,All constructs,Stepper/Horizontal,,,,,,,Number of segments varies (4-7) depending on visible layers,,,,,,
C01,Progress Stepper,ALL,P0,horizontal,Single row of bars with layer labels below,active,Current layer,All constructs,Stepper/Horizontal,,,,,,,Number of segments varies (4-7) depending on visible layers,,,,,,
C01,Progress Stepper,ALL,P0,horizontal,Single row of bars with layer labels below,upcoming,Not yet reached,All constructs,Stepper/Horizontal,,,,,,,Number of segments varies (4-7) depending on visible layers,,,,,,
C02,Coverage Card,"L1, L3, L4",P0,view-only,"Full card with SI, badge, family list",default,Normal display,All constructs,Card/Coverage,Your coverage from [Company],₹5 lakh coverage for your family,Continue,,E-L1-01,Unable to load coverage details.,Flex: Show wallet prominently | Grade-based: Only eligible plans,,,,,,
C02,Coverage Card,"L1, L3, L4",P0,view-only,"Full card with SI, badge, family list",loading,Data fetching,All constructs,Card/Coverage,Your coverage from [Company],₹5 lakh coverage for your family,Continue,,E-L1-01,Unable to load coverage details.,Flex: Show wallet prominently | Grade-based: Only eligible plans,,,,,,
C02,Coverage Card,"L1, L3, L4",P0,view-only,"Full card with SI, badge, family list",error,API failure,All constructs,Card/Coverage,Your coverage from [Company],₹5 lakh coverage for your family,Continue,,E-L1-01,Unable to load coverage details.,Flex: Show wallet prominently | Grade-based: Only eligible plans,,,,,,
C02,Coverage Card,L1,P0,(content variant),Content for FLEX,-,-,FLEX,Card/Coverage,Your benefits wallet,"₹25,000 to build your protection",Continue,,,,Flex: Show wallet prominently | Grade-based: Only eligible plans,,,,,,
C03,Plan Selector,L3,P0,tier-cards,MODULAR: 3 tier cards (Silver/Gold/Platinum),default,No selection,"Modular: tier-cards, Flex: configurator, Vanilla: skip","PlanSelector/TierCards, PlanSelector/Configurator",Upgrade your plan,Choose a higher tier,Continue,,E-L3-01 | E-L3-02 | E-L3-03,Please select a plan to continue | Selections exceed wallet balance | Not available for your grade,Modular: Show price delta clearly | Flex: Wallet meter real-time | Downgrade: Warn reduced coverage,,,,,,
C03,Plan Selector,L3,P0,tier-cards,MODULAR: 3 tier cards (Silver/Gold/Platinum),selected,User chose a tier/SI,"Modular: tier-cards, Flex: configurator, Vanilla: skip","PlanSelector/TierCards, PlanSelector/Configurator",Upgrade your plan,Choose a higher tier,Continue,,E-L3-01 | E-L3-02 | E-L3-03,Please select a plan to continue | Selections exceed wallet balance | Not available for your grade,Modular: Show price delta clearly | Flex: Wallet meter real-time | Downgrade: Warn reduced coverage,,,,,,
C03,Plan Selector,L3,P0,tier-cards,MODULAR: 3 tier cards (Silver/Gold/Platinum),disabled,Grade-restricted,"Modular: tier-cards, Flex: configurator, Vanilla: skip","PlanSelector/TierCards, PlanSelector/Configurator",Upgrade your plan,Choose a higher tier,Continue,,E-L3-01 | E-L3-02 | E-L3-03,Please select a plan to continue | Selections exceed wallet balance | Not available for your grade,Modular: Show price delta clearly | Flex: Wallet meter real-time | Downgrade: Warn reduced coverage,,,,,,
